NOMBRE LINEA;NOMBRE GRUPO;CODIGOPRODUCTO;;MARCA;EXISTENCIA SANTA;INTERCAMBIO
AMORTIGUADORES    ;AMORTIGUADOR STRUCTURA CHEV ;11234;AMORTIGUADOR, DELT.IZQ.WAGON R 00-04 TICO 96-99;MONROE;2;11234
AMORTIGUADORES    ;AMORTIGUADOR STRUCTURA CHEV ;11235;AMORTIGUADOR, DELT.DER.WAGON R 00-04 TICO 96-99;MONROE;0;11234
AMORTIGUADORES    ;AMORTIGUADOR STRUCTURA CHEV ;G-35882;AMORTIGUADOR, DELT.MATIZ 99-02 TICO 96-99 QQ 06-10 WAGON R 00-04;GABRIEL;2;11234
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;G-22200E;AMORTIGUADOR, TRAS.DAMAS 95-07 MATIZ 99-02 QQ 06-10 SUPER CARRY 95-07 WAGON R 00-04 ;GABRIEL;1;21641
AMORTIGUADORES    ;AMORTIGUADOR NORMAL DODGE  ;22101;AMORTIGUADOR, TRAS.ASPEN 77-79 LEBARON 77-79 CORONET 77-79;GABRIEL;0;22101
AMORTIGUADORES    ;AMORTIGUADOR NORMAL DODGE  ;22102;AMORTIGUADOR, DELT.ASPEN 77-79 LEBARON 77-79;GABRIEL;0;22102
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;22105;AMORTIGUADOR, TRAS.FAIRMONT 77-84 ZEPHYR 79-82;GABRIEL;0;22105
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;22106;AMORTIGUADOR, TRAS.WAGONEER 76-80;GABRIEL;0;22106
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;22110;AMORTIGUADOR, TRAS.CAVALIER 82-94 CHEVETTE 81-96 CIELO 95-02 CORSICA 87-94 ESPERO 92-97 LANOS 96-02 MONZA 84-91 RACER 92-98;GABRIEL;0;22110
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32198;AMORTIGUADOR, TRAS.CAVALIER 82-94 CHEVETTE 81-96 CIELO 95-02 CORSICA 87-94 ESPERO 92-97 LANOS 96-02 MONZA 84-91 RACER 92-98;MONROE;1;22110
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;G-22125;AMORTIGUADOR, TRAS.CAVALIER 82-94 CHEVETTE 81-96 CIELO 95-02 CORSICA 87-94 ESPERO 92-97 LANOS 96-02 MONZA 84-91 RACER 92-98;GABRIEL;0;22110
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;22111;AMORTIGUADOR, DELT.CHEVETTE 81-96;GABRIEL;0;22111
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;22114;AMORTIGUADOR, TRAS.COUGAR 81-94 FAIRMONT 84-94 MUSTANG 81-94 ZEPHYR 84-94;GABRIEL;0;22114
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;33108;AMORTIGUADOR, TRAS.CENTURY 83-96 CELEBRITY 83-88;MONROE;2;22116
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;22116E;AMORTIGUADOR, TRAS.CENTURY 83-96 CELEBRITY 83-88;GABRIEL;0;22116
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;G-22116E;AMORTIGUADOR, TRAS.CENTURY 83-96 CELEBRITY 83-88;GABRIEL;1;22116
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;22137;AMORTIGUADOR, TRAS.CHEVETTE RANCHERA 81-94;GABRIEL;0;22137
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;22145;AMORTIGUADOR, DELT.WRANGLER 87-95;GABRIEL;0;22145
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;32219;AMORTIGUADOR, DELT.WRANGLER 87-95;MONROE;1;22145
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;34975;AMORTIGUADOR, DELT.WRANGLER 87-95;MONROE;1;22145
AMORTIGUADORES    ;AMORTIGUADOR STRUCTURA CHEV ;22158;AMORTIGUADOR, DELT.CARIBE 442 88-93;GABRIEL;0;22158
AMORTIGUADORES    ;AMORTIGUADOR STRUCTURA CHEV ;22159;AMORTIGUADOR, TRAS.CARIBE 442 88-93;GABRIEL;0;22159
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;23066;AMORTIGUADOR, DELT.WAGONEER 80-81;GABRIEL;0;23066
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;23081;AMORTIGUADOR, DELT.WAGONEER 82-89;GABRIEL;0;23066
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;23082;AMORTIGUADOR, TRAS.WAGONEER 82-89;GABRIEL;0;23082
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;23092;AMORTIGUADOR, DELT.CHEROKEE XJ 87-89 WAGONEER 87-88;GABRIEL;0;23092
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;23093;AMORTIGUADOR, TRAS.CHEROKEE 87-89;GABRIEL;1;23093
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;23094;AMORTIGUADOR, TRAS.COMANCHE 87-89;GABRIEL;0;23094
AMORTIGUADORES    ;AMORTIGUADOR STRUCTURA FORD ;27086;AMORTIGUADOR, DELT.FIESTA 96-02;MONROE;2;27086
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;22150;AMORTIGUADOR, TRAS.CHEROKEE 84-96 COMANCHE 87-89;GABRIEL;0;31000
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;31000;AMORTIGUADOR, TRAS.CJ5 73-81 CJ6 73-75 CJ7 76-81 L-300 90-07;MONROE;1;31000
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;34905;AMORTIGUADOR, TRAS.CJ5 73-81 CJ6 73-75 CJ7 76-81 L-300 90-07;MONROE;0;31000
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;1000MM;AMORTIGUADOR, JEEP 55-84 TRAS.Y OTROS;;0;31000
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;31094;AMORTIGUADOR, TRAS.CARIBE 84-86 COMANCHE 86-92 WAGONEER 63-73 SAMURAI 80-87;MONROE;0;31094
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;34900;AMORTIGUADOR, DELT.F-150 4X2 65-79 F-350 4X2 65-79;MONROE;0;32075
AMORTIGUADORES    ;AMORTIGUADOR NORMAL FORD  ;37053ST;AMORTIGUADOR, DELT.F-150 4X2 65-79 F-350 4X2 65-79;MONROE;0;32075
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;22123;AMORTIGUADOR, DELT.CARIBE 83-89 ;GABRIEL;0;32113
AMORTIGUADORES    ;AMORTIGUADOR NORMAL DODGE  ;32128;AMORTIGUADOR, TRAS.D100 75-79 D100 84-89 D200 75-89 D300 75-80;MONROE;0;32128
AMORTIGUADORES    ;AMORTIGUADOR NORMAL DODGE  ;34832;AMORTIGUADOR, TRAS.D100 75-79 D100 84-89 D200 75-89 D300 75-80;MONROE;0;32128
AMORTIGUADORES    ;AMORTIGUADOR NORMAL DODGE  ;45456;AMORTIGUADOR, TRAS.D100 75-79 D100 84-89 D200 75-89 D300 75-80;GABRIEL;0;32128
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;22100;AMORTIGUADOR, DELT.CJ5 82-83 CJ7 82-86 DELANTERO/TRAS.WAGONEER 74-83;GABRIEL;0;32164
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;32164;AMORTIGUADOR, DELT.CJ5 82-83 CJ7 82-86 DELANTERO/TRAS.WAGONEER 74-83;MONROE;2;32164
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;34958;AMORTIGUADOR, DELT.CJ5 82-83 CJ7 82-86 DELANTERO/TRAS.WAGONEER 74-83;MONROE;1;32164
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32186;AMORTIGUADOR, TRAS.BLAZER 91-03;MONROE;2;32186
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;37021ST;AMORTIGUADOR, TRAS.BLAZER 91-03;MONROE;1;32186
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;G-22157;AMORTIGUADOR, TRAS.BLAZER 91-03;GABRIEL;1;32186
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32194;AMORTIGUADOR, DELT.BLAZER 4X4 91-03;MONROE;1;32194
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;53114;AMORTIGUADOR, DELT.BLAZER 4X4 91-03;GABRIEL;0;32194
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;37099ST;AMORTIGUADOR, DELT.BLAZER 4X4 91-03;MONROE;1;32194
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;G-22156;AMORTIGUADOR, DELT.BLAZER 4X4 91-03;GABRIEL;0;32194
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;22151;AMORTIGUADOR, TRAS.CHEROKEE XJ 84-01 WAGONEER 87-94;GABRIEL;1;32197
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;32197;AMORTIGUADOR, TRAS.CHEROKEE XJ 84-01 WAGONEER 87-94;MONROE;1;32197
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;53136;AMORTIGUADOR, TRAS.CHEROKEE XJ 84-01 WAGONEER 87-94;VARIOS;0;32197
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;37027ST;AMORTIGUADOR, TRAS.CHEROKEE XJ 84-01 WAGONEER 87-94;MONROE;1;32197
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;G-22151;AMORTIGUADOR, TRAS.CHEROKEE XJ 84-01 WAGONEER 87-94;GABRIEL;0;32197
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32206;AMORTIGUADOR, DELT.LUV 80-97 ISUZU;MONROE;0;32206
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;32207;AMORTIGUADOR, DELT.CJ5 59-81 CJ6 59-75 CJ7 76-81 SAMURAI 60-84;MONROE;0;32207
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;22146;AMORTIGUADOR, TRAS.WRANGLER 87-95;GABRIEL;0;32220
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;32220;AMORTIGUADOR, TRAS.WRANGLER 87-95;MONROE;1;32220
AMORTIGUADORES    ;AMORTIGUADOR NORMAL JEEP  ;34976;AMORTIGUADOR, TRAS.WRANGLER 87-95;MONROE;1;32220
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32224;AMORTIGUADOR, DELT.BLAZER 4X2 91-03 GRAND BLAZER 4X2 92-98 SILVERADO 1500 4X2 91-99 SILVERADO 3500 4X2 92-00;MONROE;2;32224
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;34741;AMORTIGUADOR, DELT.BLAZER 4X2 91-03 GRAND BLAZER 4X2 92-98 SILVERADO 1500 4X2 91-99 SILVERADO 3500 4X2 92-00;MONROE;4;32224
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;835091;AMORTIGUADOR, DELT.BLAZER 4X2 91-03 GRAND BLAZER 4X2 92-98 SILVERADO 1500 4X2 91-99 SILVERADO 3500 4X2 92-00;BOGE;3;32224
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;23129E;AMORTIGUADOR, DELT.BLAZER 4X2 91-03 GRAND BLAZER 4X2 92-98 SILVERADO 1500 4X2 91-99 SILVERADO 3500 4X2 92-00;GABRIEL;0;32224
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;37019ST;AMORTIGUADOR, DELT.BLAZER 4X2 91-03 GRAND BLAZER 4X2 92-98 SILVERADO 1500 4X2 91-99 SILVERADO 3500 4X2 92-00;MONROE;1;32224
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;G-23113E;AMORTIGUADOR, DELT.BLAZER 4X2 91-03 GRAND BLAZER 4X2 92-98 SILVERADO 1500 4X2 91-99 SILVERADO 3500 4X2 92-00;GABRIEL;0;32224
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;32225;AMORTIGUADOR, TRAS.SILVERADO 1500 91-99;MONROE;2;32225
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;34985;AMORTIGUADOR, TRAS.SILVERADO 1500 91-99 SILVERADO 3500 92-00;MONROE;1;32225
AMORTIGUADORES    ;AMORTIGUADOR NORMAL CHEV  ;835092;AMORTIGUADOR, TRAS.SILVERADO 1500 91-99 SILVERADO 3500 92-00;BOGE;8;32225
